Nombre,Precio,kilometraje,Transmisión,Combustible
2018 Dodge Journey 2.4 Auto SE,18990000,70.030 km,Automática,Bencina
2016 Dodge GRAND CARAVAN AT,19990000,65.600 km,Automática,Bencina
2019 Fiat Argo 1.8 EVO HGT,11990000,4 km,Manual,Bencina
1999 Citroën Xsara,2500000,225 km,Manual,Bencina
1985 Porsche 911,65000000,74.000 km,Manual,Bencina
2020 Kia Sportage 2.0 DSL LX Auto 6AB,25000000,50.000 km,Automática,Diesel
2020 Kia Seltos,16500000,5.200 km,Manual,Bencina
2017 Nissan Sentra 1.8 Advance CVT Auto,12000000,48.000 km,Automática,Bencina
2019 Skoda FABIA HB 1.0 MT,10990000,58.600 km,Manual,Bencina
1982 Dodge Aries,3500000,300.000 km,Manual,Bencina
2019 Chevrolet Onix 1.4 LTZ,10290000,25.000 km,Manual,Bencina
2014 Nissan Tiida,7380000,119.204 km,Manual,Bencina
2014 Mercedes-Benz C 180 1.8 C 180 CGI Blue Efficiency Limited,16900000,83.000 km,Automática,Bencina
2014 Suzuki Kizashi 2.4 GLX Limited CVT,9600000,103 km,Automática,Bencina
2019 Suzuki Alto 0.8 800 Manual DLX AC 2AB,7650000,44.000 km,Manual,Bencina
2016 Great Wall Haval M4 M4 HB 1.5,7990000,102.000 km,Manual,Bencina
2016 Daihatsu Terios Terios,10500000,56.000 km,Automática,Bencina
2015 Volvo S60 1.6 D2 Comfort Powershift,18990000,99.000 km,Automática,Diesel
2020 SsangYong Actyon Sports 2.0D Manual Full NAS612,19990000,9.820 km,Manual,Diesel
2021 Toyota Corolla 2.0 XEI,17990000,8.500 km,Manual,Bencina
2010 Chevrolet Silverado 5.3 Auto 4X4 CD,16300000,105.000 km,Automática,Bencina
2018 Mazda 3 2.0 Auto Skyactiv-G V SR,15890000,62.700 km,Automática,Bencina
2013 Mercedes-Benz E 200 1.8 E 200 CGI BlueEfficiency,18900000,54.700 km,Automática,Bencina
2016 Mercedes-Benz Gla 220,22490000,157.000 km,Automática,Diesel
2013 Fiat Fiorino Fire,4700000,154.833 km,Manual,Bencina
2008 Chevrolet Corsa Plus 1.6 AC AB ABS,4000000,95.000 km,Manual,Bencina
2019 Chevrolet Sail 1.5,7500000,45.000 km,Manual,Bencina
2013 BMW 116I,12590000,89.000 km,Manual,Bencina
2019 Peugeot 208,12000000,29.000 km,Manual,Diesel
2020 Peugeot 5008,23500000,21.000 km,Automática,Bencina
2018 BMW M4 3.0 M4 Coupe Auto,49500000,29.000 km,Automática,Bencina
1965 Ford Mustang,20000000,36.490 km,Automática,Bencina
2012 Mazda Cx-7,9500000,180.000 km,Automática,Bencina
2015 Nissan Navara,14500000,58.000 km,Manual,Diesel
2011 Range Rover Range Rover Sport 5.0,26990000,97.100 km,Automática,Bencina
2014 Mercedes-Benz E 200 2.0 E 200 Auto,18500000,80.000 km,Automática,Bencina
2013 Nissan Terrano 2.5TD AXS CD 4X2,10900000,192.000 km,Manual,Diesel
2013 Ford Edge,13500000,100.000 km,Automática,Bencina
2008 Mercedes-Benz C 180 C 180 K,8500000,200.000 km,Automática,Bencina
2018 Hyundai TUCSON MT,18580000,32.000 km,Manual,Bencina
2014 BMW X1 2.0 XDrive20D Auto,15750000,135.000 km,Automática,Diesel
2013 Toyota Rav4,12500000,73.336 km,Manual,Bencina
2018 Renault Clio,10999990,30.000 km,Manual,Bencina
2010 Suzuki Grand Vitara,8000000,160.000 km,Manual,Bencina
2017 Audi A3 1.4 TFSI S Line,16990000,95.904 km,Manual,Bencina
2018 Suzuki Alto,5490000,63.100 km,Manual,Bencina
2012 Ford Fiesta 1.6 SE,6500000,154.000 km,Manual,Bencina
2017 Mazda 3 1.6 S,13990000,23.000 km,Manual,Bencina
