edad,educacion,nivel_educacional,estado_civil,raza,sexo,nativo,horas_semanal,salario
39,Bachelors,13,Soltero,Blanco,Male,United-States,40,<=50K
50,Bachelors,13,Casado,Blanco,Male,United-States,13,<=50K
38,HS-grad,9,Divorsiado,Blanco,Male,United-States,40,<=50K
53,11th,7,Casado,Negro,Male,United-States,40,<=50K
28,Bachelors,13,Casado,Negro,Female,Otro,40,<=50K
37,Masters,14,Casado,Blanco,Female,United-States,40,<=50K
49,9th,5,Casado,Negro,Female,Otro,16,<=50K
52,HS-grad,9,Casado,Blanco,Male,United-States,45,>50K
31,Masters,14,Soltero,Blanco,Female,United-States,50,>50K
42,Bachelors,13,Casado,Blanco,Male,United-States,40,>50K
37,Some-college,10,Casado,Negro,Male,United-States,80,>50K
30,Bachelors,13,Casado,Otro,Male,Otro,40,>50K
23,Bachelors,13,Soltero,Blanco,Female,United-States,30,<=50K
32,Assoc-acdm,12,Soltero,Negro,Male,United-States,50,<=50K
40,Assoc-voc,11,Casado,Otro,Male,Otro,40,>50K
34,7th-8th,4,Casado,Otro,Male,Otro,45,<=50K
25,HS-grad,9,Soltero,Blanco,Male,United-States,35,<=50K
32,HS-grad,9,Soltero,Blanco,Male,United-States,40,<=50K
38,11th,7,Casado,Blanco,Male,United-States,50,<=50K
43,Masters,14,Divorsiado,Blanco,Female,United-States,45,>50K
40,Doctorate,16,Casado,Blanco,Male,United-States,60,>50K
54,HS-grad,9,Casado,Negro,Female,United-States,20,<=50K
35,9th,5,Casado,Negro,Male,United-States,40,<=50K
43,11th,7,Casado,Blanco,Male,United-States,40,<=50K
59,HS-grad,9,Divorsiado,Blanco,Female,United-States,40,<=50K
56,Bachelors,13,Casado,Blanco,Male,United-States,40,>50K
19,HS-grad,9,Soltero,Blanco,Male,United-States,40,<=50K
54,Some-college,10,Casado,Otro,Male,Otro,60,>50K
39,HS-grad,9,Divorsiado,Blanco,Male,United-States,80,<=50K
49,HS-grad,9,Casado,Blanco,Male,United-States,40,<=50K
23,Assoc-acdm,12,Soltero,Blanco,Male,United-States,52,<=50K
20,Some-college,10,Soltero,Negro,Male,United-States,44,<=50K
45,Bachelors,13,Divorsiado,Blanco,Male,United-States,40,<=50K
30,Some-college,10,Casado,Blanco,Male,United-States,40,<=50K
22,Some-college,10,Casado,Negro,Male,United-States,15,<=50K
48,11th,7,Soltero,Blanco,Male,Otro,40,<=50K
21,Some-college,10,Soltero,Blanco,Male,United-States,40,<=50K
19,HS-grad,9,Casado,Blanco,Female,United-States,25,<=50K
31,Some-college,10,Casado,Blanco,Male,Otro,38,>50K
48,Assoc-acdm,12,Casado,Blanco,Male,United-States,40,<=50K
31,9th,5,Casado,Blanco,Male,United-States,43,<=50K
53,Bachelors,13,Casado,Blanco,Male,United-States,40,<=50K
24,Bachelors,13,Casado,Blanco,Male,United-States,50,<=50K
49,HS-grad,9,Casado,Blanco,Female,United-States,40,<=50K
25,HS-grad,9,Soltero,Blanco,Male,United-States,35,<=50K
57,Bachelors,13,Casado,Negro,Male,United-States,40,>50K
53,HS-grad,9,Casado,Blanco,Male,United-States,38,<=50K
44,Masters,14,Divorsiado,Blanco,Female,United-States,40,<=50K
41,Assoc-voc,11,Casado,Blanco,Male,United-States,40,<=50K
29,Assoc-voc,11,Soltero,Blanco,Male,United-States,43,<=50K
25,Some-college,10,Casado,Otro,Female,United-States,40,<=50K
18,HS-grad,9,Soltero,Blanco,Female,Otro,30,<=50K
47,Prof-school,15,Casado,Blanco,Female,Otro,60,>50K
50,Bachelors,13,Divorsiado,Blanco,Male,United-States,55,>50K
47,HS-grad,9,Divorsiado,Blanco,Male,United-States,60,<=50K
43,Some-college,10,Casado,Blanco,Male,United-States,40,>50K
46,5th-6th,3,Casado,Blanco,Male,Otro,40,<=50K
35,Assoc-voc,11,Casado,Blanco,Male,Otro,40,<=50K
41,HS-grad,9,Casado,Blanco,Male,United-States,48,<=50K
30,HS-grad,9,Casado,Blanco,Male,United-States,40,<=50K
30,Bachelors,13,Casado,Blanco,Male,United-States,40,<=50K
32,7th-8th,4,Casado,Blanco,Male,Otro,40,<=50K
48,HS-grad,9,Casado,Blanco,Male,United-States,40,<=50K
42,Doctorate,16,Casado,Blanco,Male,United-States,45,>50K
29,Some-college,10,Divorsiado,Blanco,Male,United-States,58,<=50K
36,HS-grad,9,Casado,Blanco,Male,United-States,40,<=50K
28,Some-college,10,Divorsiado,Blanco,Female,United-States,40,<=50K
53,HS-grad,9,Casado,Blanco,Female,United-States,40,>50K
49,Some-college,10,Casado,Blanco,Male,United-States,50,>50K
25,Some-college,10,Soltero,Blanco,Male,United-States,40,<=50K
19,Some-college,10,Soltero,Blanco,Male,United-States,32,<=50K
31,Bachelors,13,Casado,Negro,Female,United-States,40,<=50K
29,Bachelors,13,Casado,Blanco,Male,United-States,70,>50K
23,Some-college,10,Soltero,Blanco,Male,United-States,40,<=50K
79,Some-college,10,Casado,Blanco,Male,United-States,20,<=50K
27,HS-grad,9,Soltero,Blanco,Male,Otro,40,<=50K
40,Assoc-acdm,12,Casado,Blanco,Male,United-States,40,<=50K
67,10th,6,Casado,Blanco,Male,United-States,2,<=50K
18,11th,7,Soltero,Blanco,Female,United-States,22,<=50K
31,7th-8th,4,Casado,Blanco,Male,United-States,40,<=50K
18,HS-grad,9,Soltero,Blanco,Male,United-States,30,<=50K
52,Bachelors,13,Casado,Blanco,Male,Otro,40,<=50K
46,HS-grad,9,Casado,Blanco,Female,United-States,40,<=50K
59,HS-grad,9,Casado,Blanco,Male,United-States,48,<=50K
44,HS-grad,9,Divorsiado,Blanco,Female,United-States,40,>50K
53,HS-grad,9,Divorsiado,Blanco,Female,United-States,35,<=50K
